vid_id,blink_count,frames,bpf
0,55,396,0.1388888888888889
1,0,460,0.0
2,0,693,0.0
3,123,303,0.40594059405940597
4,18,309,0.05825242718446602
5,0,385,0.0
6,14,310,0.04516129032258064
7,30,505,0.0594059405940594
8,63,637,0.0989010989010989
9,4,588,0.006802721088435374
10,15,474,0.03164556962025317
11,22,632,0.03481012658227848
12,15,363,0.04132231404958678
13,0,332,0.0
14,566,676,0.8372781065088757
15,118,437,0.2700228832951945
16,322,678,0.4749262536873156
17,0,398,0.0
18,21,432,0.04861111111111111
19,152,1385,0.10974729241877257
20,0,390,0.0
21,26,431,0.060324825986078884
22,180,325,0.5538461538461539
23,10,553,0.018083182640144666
24,0,306,0.0
25,47,747,0.06291834002677377
26,46,322,0.14285714285714285
27,121,315,0.38412698412698415
28,0,434,0.0
29,40,416,0.09615384615384616
30,0,297,0.0
31,0,482,0.0
32,9,310,0.02903225806451613
33,807,809,0.9975278121137207
34,3,407,0.007371007371007371
35,0,423,0.0
36,0,337,0.0
37,30,454,0.06607929515418502
38,6,305,0.019672131147540985
39,607,609,0.9967159277504105
40,451,548,0.822992700729927
41,1,349,0.0028653295128939827
42,69,338,0.20414201183431951
43,33,495,0.06666666666666667
44,18,335,0.05373134328358209
45,122,350,0.3485714285714286
46,0,504,0.0
47,6,319,0.018808777429467086
48,0,485,0.0
49,55,360,0.1527777777777778
50,0,530,0.0
51,10,717,0.01394700139470014
52,11,323,0.034055727554179564
53,42,417,0.10071942446043165
54,0,368,0.0
55,0,394,0.0
56,9,373,0.024128686327077747
57,39,431,0.09048723897911833
58,0,669,0.0
59,9,721,0.012482662968099861
60,88,844,0.10426540284360189
61,8,337,0.02373887240356083
62,0,423,0.0
63,925,930,0.9946236559139785
64,50,402,0.12437810945273632
65,0,442,0.0
66,0,435,0.0
67,0,538,0.0
68,32,401,0.0798004987531172
69,100,774,0.12919896640826872
70,6,367,0.01634877384196185
71,20,453,0.04415011037527594
72,14,311,0.04501607717041801
73,1,703,0.001422475106685633
74,0,345,0.0
75,35,613,0.057096247960848286
76,0,329,0.0
77,0,611,0.0
78,20,523,0.03824091778202677
79,207,424,0.4882075471698113
80,30,483,0.062111801242236024
81,0,1170,0.0
82,1,316,0.0031645569620253164
83,13,545,0.023853211009174313
84,61,375,0.16266666666666665
85,0,329,0.0
86,0,935,0.0
87,4,309,0.012944983818770227
88,108,665,0.162406015037594
89,55,751,0.07323568575233022
90,31,687,0.04512372634643377
91,65,639,0.10172143974960876
92,0,460,0.0
93,11,308,0.03571428571428571
94,182,559,0.32558139534883723
95,1,1006,0.0009940357852882703
96,504,504,1.0
97,14,478,0.029288702928870293
98,0,299,0.0
99,0,613,0.0
100,46,423,0.10874704491725769
101,35,1148,0.03048780487804878
102,14,389,0.03598971722365039
103,30,595,0.05042016806722689
104,180,462,0.38961038961038963
105,30,300,0.1
106,0,356,0.0
107,0,556,0.0
108,40,300,0.13333333333333333
109,0,298,0.0
110,7,565,0.012389380530973451
111,0,433,0.0
112,9,418,0.0215311004784689
113,106,841,0.12604042806183116
114,0,1269,0.0
115,0,320,0.0
116,0,327,0.0
117,143,548,0.26094890510948904
118,0,352,0.0
119,5,502,0.0099601593625498
120,45,405,0.1111111111111111
121,11,553,0.019891500904159132
122,7,309,0.022653721682847898
123,32,514,0.0622568093385214
124,5,318,0.015723270440251572
125,1,500,0.002
126,16,328,0.04878048780487805
127,10,864,0.011574074074074073
128,234,735,0.3183673469387755
129,0,330,0.0
130,18,662,0.027190332326283987
131,85,306,0.2777777777777778
132,17,413,0.04116222760290557
133,0,767,0.0
134,21,346,0.06069364161849711
135,0,327,0.0
136,0,611,0.0
137,309,606,0.5099009900990099
138,38,410,0.09268292682926829
139,7,378,0.018518518518518517
140,167,485,0.3443298969072165
141,13,508,0.025590551181102362
142,48,962,0.0498960498960499
143,364,414,0.8792270531400966
144,0,344,0.0
145,18,475,0.037894736842105266
146,31,1003,0.03090727816550349
147,0,667,0.0
148,47,475,0.09894736842105263
149,50,363,0.13774104683195593
150,2,456,0.0043859649122807015
151,10,347,0.02881844380403458
152,68,313,0.21725239616613418
153,39,732,0.05327868852459016
154,12,594,0.020202020202020204
155,32,829,0.038600723763570564
156,518,518,1.0
157,19,486,0.03909465020576132
158,225,444,0.5067567567567568
159,244,325,0.7507692307692307
160,1,534,0.0018726591760299626
161,11,369,0.02981029810298103
162,55,685,0.08029197080291971
163,46,304,0.1513157894736842
164,44,1021,0.043095004897159644
165,0,387,0.0
166,0,756,0.0
167,2,341,0.005865102639296188
168,62,1228,0.050488599348534204
169,128,649,0.19722650231124808
170,0,504,0.0
171,48,541,0.08872458410351201
172,3,752,0.003989361702127659
173,80,721,0.11095700416088766
174,3,414,0.007246376811594203
175,34,504,0.06746031746031746
176,0,376,0.0
177,0,410,0.0
178,42,521,0.08061420345489444
179,9,1260,0.007142857142857143
180,0,569,0.0
181,6,478,0.012552301255230125
182,4,620,0.0064516129032258064
183,33,390,0.08461538461538462
184,712,1254,0.5677830940988836
185,0,875,0.0
186,79,334,0.23652694610778444
187,81,986,0.0821501014198783
188,0,310,0.0
189,135,512,0.263671875
190,2,331,0.006042296072507553
191,23,372,0.06182795698924731
192,0,287,0.0
193,37,372,0.09946236559139784
194,91,567,0.16049382716049382
195,23,333,0.06906906906906907
196,312,426,0.7323943661971831
197,0,880,0.0
198,38,392,0.09693877551020408
199,0,368,0.0
200,14,719,0.019471488178025034
201,82,863,0.09501738122827347
202,250,323,0.7739938080495357
203,7,446,0.01569506726457399
204,7,515,0.013592233009708738
205,32,307,0.10423452768729642
206,265,714,0.3711484593837535
207,0,346,0.0
208,0,465,0.0
209,0,337,0.0
210,0,839,0.0
211,359,527,0.681214421252372
212,12,415,0.02891566265060241
213,226,378,0.5978835978835979
214,29,462,0.06277056277056277
215,22,588,0.03741496598639456
216,30,476,0.06302521008403361
217,52,702,0.07407407407407407
218,30,353,0.08498583569405099
219,21,350,0.06
220,13,357,0.036414565826330535
221,718,718,1.0
222,48,407,0.11793611793611794
223,0,336,0.0
224,38,488,0.0778688524590164
225,0,304,0.0
226,3,328,0.009146341463414634
227,194,441,0.4399092970521542
228,0,556,0.0
229,28,392,0.07142857142857142
230,119,372,0.31989247311827956
231,175,573,0.3054101221640489
232,17,574,0.029616724738675958
233,585,675,0.8666666666666667
234,18,528,0.03409090909090909
235,1,312,0.003205128205128205
236,24,651,0.03686635944700461
237,757,757,1.0
238,21,622,0.03376205787781351
239,183,588,0.3112244897959184
240,232,1274,0.18210361067503925
241,45,292,0.1541095890410959
242,20,331,0.06042296072507553
243,128,387,0.330749354005168
244,84,557,0.15080789946140036
245,8,334,0.023952095808383235
246,1,496,0.0020161290322580645
247,42,399,0.10526315789473684
248,15,496,0.03024193548387097
249,99,632,0.15664556962025317
250,1,564,0.0017730496453900709
251,0,346,0.0
252,470,572,0.8216783216783217
253,41,501,0.08183632734530938
254,424,427,0.9929742388758782
255,18,470,0.03829787234042553
256,90,546,0.16483516483516483
257,105,763,0.13761467889908258
258,14,498,0.028112449799196786
259,75,444,0.16891891891891891
260,41,302,0.1357615894039735
261,8,677,0.011816838995568686
262,35,397,0.08816120906801007
263,0,300,0.0
264,5,455,0.01098901098901099
265,9,552,0.016304347826086956
266,0,465,0.0
267,18,306,0.058823529411764705
268,846,1465,0.5774744027303754
269,2,387,0.00516795865633075
270,208,311,0.6688102893890675
271,50,490,0.10204081632653061
272,57,323,0.17647058823529413
273,40,322,0.12422360248447205
274,8,474,0.016877637130801686
275,0,424,0.0
276,15,331,0.045317220543806644
277,31,966,0.032091097308488616
278,75,449,0.16703786191536749
279,119,906,0.13134657836644592
280,16,606,0.026402640264026403
281,309,309,1.0
282,220,594,0.37037037037037035
283,152,966,0.15734989648033126
284,53,483,0.10973084886128365
285,220,383,0.5744125326370757
286,0,668,0.0
287,0,475,0.0
288,33,543,0.06077348066298342
289,2,597,0.0033500837520938024
290,47,422,0.11137440758293839
291,46,330,0.1393939393939394
292,9,425,0.021176470588235293
293,380,758,0.5013192612137203
294,53,604,0.08774834437086093
295,17,411,0.0413625304136253
296,28,336,0.08333333333333333
297,0,390,0.0
298,14,569,0.02460456942003515
299,0,314,0.0
300,66,598,0.11036789297658862
301,54,763,0.07077326343381389
302,0,875,0.0
303,77,571,0.13485113835376533
